image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1358063118,T0437,1358063118-0174,0.7427,3,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,843.21,663.75,36.55,18,0.00,18,36.55,12.77,229.82,2.86,1.50,,"3 frame(s); median area 14.0 px; net motion dx=-0.9, dy=-81.3; flags: none"
N1358063287,T0437,1358063287-0207,0.7427,3,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,844.06,642.59,25.82,14,0.00,14,25.82,14.12,197.62,1.83,2.54,,"3 frame(s); median area 14.0 px; net motion dx=-0.9, dy=-81.3; flags: none"
N1358063796,T0437,1358063796-0075,0.7427,3,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,842.36,582.46,22.76,4,0.00,4,22.76,16.51,66.05,1.38,1.00,,"3 frame(s); median area 14.0 px; net motion dx=-0.9, dy=-81.3; flags: none"
N1358063118,T0431,1358063118-0094,0.7221,3,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,839.28,388.45,20.10,9,0.00,9,20.10,12.16,109.44,1.65,2.23,,"3 frame(s); median area 7.0 px; net motion dx=0.7, dy=-62.2; flags: none"
N1358063287,T0431,1358063287-0111,0.7221,3,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,837.01,368.98,21.25,5,0.00,5,21.25,10.79,53.96,1.97,1.00,,"3 frame(s); median area 7.0 px; net motion dx=0.7, dy=-62.2; flags: none"
N1358063796,T0431,1358063796-0032,0.7221,3,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,839.95,326.28,28.31,7,0.00,7,28.31,13.93,97.52,2.03,1.08,,"3 frame(s); median area 7.0 px; net motion dx=0.7, dy=-62.2; flags: none"
N1358063118,T0487,1358063118-0738,0.7210,3,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,588.83,1007.71,9.75,7,0.00,7,9.75,8.18,57.23,1.19,2.72,,"3 frame(s); median area 7.0 px; net motion dx=-0.2, dy=-34.1; flags: none"
N1358063287,T0487,1358063287-0553,0.7210,3,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,574.94,993.60,13.01,8,0.00,8,13.01,10.90,87.17,1.19,1.23,,"3 frame(s); median area 7.0 px; net motion dx=-0.2, dy=-34.1; flags: none"
N1358063796,T0487,1358063796-0229,0.7210,3,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,588.67,973.65,8.27,3,0.00,3,8.27,7.98,23.94,1.04,1.73,,"3 frame(s); median area 7.0 px; net motion dx=-0.2, dy=-34.1; flags: none"
N1358063118,T0481,1358063118-0640,0.7120,3,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,586.78,997.65,9.75,6,0.00,6,9.75,8.29,49.76,1.18,1.48,,"3 frame(s); median area 6.0 px; net motion dx=-11.5, dy=-25.2; flags: none"
N1358063287,T0481,1358063287-0543,0.7120,3,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,573.76,990.17,11.81,7,0.00,7,11.81,10.20,71.39,1.16,1.62,,"3 frame(s); median area 6.0 px; net motion dx=-11.5, dy=-25.2; flags: none"
N1358063796,T0481,1358063796-0226,0.7120,3,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,575.29,972.40,12.38,3,0.00,3,12.38,10.22,30.66,1.21,1.73,,"3 frame(s); median area 6.0 px; net motion dx=-11.5, dy=-25.2; flags: none"
N1358063118,T0482,1358063118-0657,0.7090,3,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,720.96,999.64,11.64,7,0.00,7,11.64,9.29,65.02,1.25,2.81,,"3 frame(s); median area 7.0 px; net motion dx=-16.5, dy=12.2; flags: none"
N1358063287,T0482,1358063287-0533,0.7090,3,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,709.52,984.28,11.40,4,0.00,4,11.40,10.21,40.83,1.12,4.47,,"3 frame(s); median area 7.0 px; net motion dx=-16.5, dy=12.2; flags: none"
N1358063796,T0482,1358063796-0376,0.7090,3,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,704.44,1011.81,10.33,8,0.00,8,10.33,8.44,67.53,1.22,1.93,,"3 frame(s); median area 7.0 px; net motion dx=-16.5, dy=12.2; flags: none"
N1358108118,T1407,1358108118-0340,0.7032,3,14,co-iss-n1358108118,1358108118,2001-01-13T20:02:24.077,580.42,961.96,9.62,4,0.00,4,9.62,8.34,33.37,1.15,2.45,,"3 frame(s); median area 6.0 px; net motion dx=10.5, dy=-17.2; flags: none"
N1358108287,T1407,1358108287-0371,0.7032,3,15,co-iss-n1358108287,1358108287,2001-01-13T20:04:41.083,576.47,945.81,8.30,6,0.00,6,8.30,7.91,47.47,1.05,1.15,,"3 frame(s); median area 6.0 px; net motion dx=10.5, dy=-17.2; flags: none"
N1358108796,T1407,1358108796-0182,0.7032,3,16,co-iss-n1358108796,1358108796,2001-01-13T20:14:18.103,590.93,944.75,14.70,8,0.00,8,14.70,10.33,82.60,1.42,1.70,,"3 frame(s); median area 6.0 px; net motion dx=10.5, dy=-17.2; flags: none"
N1358063118,T0455,1358063118-0285,0.6997,3,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,606.49,939.69,11.67,4,0.00,4,11.67,9.28,37.14,1.26,2.70,,"3 frame(s); median area 5.0 px; net motion dx=-14.2, dy=1.1; flags: none"
N1358063287,T0455,1358063287-0346,0.6997,3,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,599.28,928.58,12.61,5,0.00,5,12.61,9.72,48.58,1.30,2.89,,"3 frame(s); median area 5.0 px; net motion dx=-14.2, dy=1.1; flags: none"
N1358063796,T0455,1358063796-0147,0.6997,3,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,592.27,940.81,11.07,5,0.00,5,11.07,9.80,49.00,1.13,1.62,,"3 frame(s); median area 5.0 px; net motion dx=-14.2, dy=1.1; flags: none"
N1358063118,T0480,1358063118-0578,0.6970,3,1,co-iss-n1358063118,1358063118,2001-01-13T07:32:24.388,710.14,991.92,12.82,11,0.00,11,12.82,9.83,108.17,1.30,1.85,,"3 frame(s); median area 11.0 px; net motion dx=-32.6, dy=13.4; flags: none"
N1358063287,T0480,1358063287-0521,0.6970,3,2,co-iss-n1358063287,1358063287,2001-01-13T07:34:41.395,697.66,983.48,11.00,16,0.00,16,11.00,8.44,135.08,1.30,2.37,,"3 frame(s); median area 11.0 px; net motion dx=-32.6, dy=13.4; flags: none"
N1358063796,T0480,1358063796-0314,0.6970,3,3,co-iss-n1358063796,1358063796,2001-01-13T07:44:18.415,677.57,1005.29,8.27,7,0.15,7,8.27,8.27,57.92,1.00,7.15,,"3 frame(s); median area 11.0 px; net motion dx=-32.6, dy=13.4; flags: none"
N1358105418,T1091,1358105418-1935,0.6954,3,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,985.85,918.56,9.02,6,0.15,6,9.02,8.12,48.74,1.11,7.37,,"3 frame(s); median area 6.0 px; net motion dx=-24.6, dy=-42.0; flags: none"
N1358105587,T1091,1358105587-1186,0.6954,3,12,co-iss-n1358105587,1358105587,2001-01-13T19:19:41.102,990.27,892.38,10.00,3,0.00,3,10.00,8.82,26.47,1.13,1.73,,"3 frame(s); median area 6.0 px; net motion dx=-24.6, dy=-42.0; flags: none"
N1358106096,T1091,1358106096-1351,0.6954,3,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,961.28,876.60,11.20,7,0.00,7,11.20,8.92,62.42,1.26,3.49,,"3 frame(s); median area 6.0 px; net motion dx=-24.6, dy=-42.0; flags: none"
N1358114418,T1664,1358114418-1139,0.6899,3,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,414.36,866.30,10.27,4,0.00,4,10.27,8.50,34.01,1.21,4.47,,"3 frame(s); median area 5.0 px; net motion dx=32.5, dy=-69.3; flags: none"
N1358114587,T1664,1358114587-0740,0.6899,3,20,co-iss-n1358114587,1358114587,2001-01-13T21:49:41.040,444.45,836.37,10.57,5,0.00,5,10.57,9.11,45.56,1.16,2.09,,"3 frame(s); median area 5.0 px; net motion dx=32.5, dy=-69.3; flags: none"
N1358115096,T1664,1358115096-0346,0.6899,3,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,446.84,797.03,9.55,5,0.00,5,9.55,8.36,41.82,1.14,1.62,,"3 frame(s); median area 5.0 px; net motion dx=32.5, dy=-69.3; flags: none"
N1358114418,T1685,1358114418-1651,0.6893,3,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,360.97,906.67,8.64,3,0.00,3,8.64,7.98,23.93,1.08,4.39,,"3 frame(s); median area 6.0 px; net motion dx=48.6, dy=-79.2; flags: none"
N1358114587,T1685,1358114587-1073,0.6893,3,20,co-iss-n1358114587,1358114587,2001-01-13T21:49:41.040,420.87,877.09,10.10,6,0.00,6,10.10,8.56,51.34,1.18,1.65,,"3 frame(s); median area 6.0 px; net motion dx=48.6, dy=-79.2; flags: none"
N1358115096,T1685,1358115096-0561,0.6893,3,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,409.59,827.48,11.25,6,0.00,6,11.25,9.14,54.83,1.23,1.43,,"3 frame(s); median area 6.0 px; net motion dx=48.6, dy=-79.2; flags: none"
N1358117118,T1975,1358117118-0264,0.6893,3,22,co-iss-n1358117118,1358117118,2001-01-13T22:32:24.014,446.35,941.73,9.39,5,0.00,5,9.39,8.55,42.76,1.10,1.42,,"3 frame(s); median area 5.0 px; net motion dx=16.6, dy=1.3; flags: none"
N1358117287,T1975,1358117287-0315,0.6893,3,23,co-iss-n1358117287,1358117287,2001-01-13T22:34:41.021,454.45,921.80,9.86,4,0.00,4,9.86,9.16,36.63,1.08,2.70,,"3 frame(s); median area 5.0 px; net motion dx=16.6, dy=1.3; flags: none"
N1358117796,T1975,1358117796-0118,0.6893,3,24,co-iss-n1358117796,1358117796,2001-01-13T22:44:18.041,462.94,942.98,10.09,15,0.00,15,10.09,9.46,141.92,1.07,1.41,,"3 frame(s); median area 5.0 px; net motion dx=16.6, dy=1.3; flags: none"
N1358114418,T1671,1358114418-1264,0.6862,3,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,410.20,876.10,11.71,5,0.15,5,11.71,8.81,44.07,1.33,6.85,,"3 frame(s); median area 5.0 px; net motion dx=25.4, dy=-73.5; flags: none"
N1358114587,T1671,1358114587-0836,0.6862,3,20,co-iss-n1358114587,1358114587,2001-01-13T21:49:41.040,436.73,848.32,11.91,5,0.00,5,11.91,8.79,43.95,1.35,2.62,,"3 frame(s); median area 5.0 px; net motion dx=25.4, dy=-73.5; flags: none"
N1358115096,T1671,1358115096-0384,0.6862,3,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,435.65,802.65,8.81,3,0.00,3,8.81,8.46,25.38,1.04,1.73,,"3 frame(s); median area 5.0 px; net motion dx=25.4, dy=-73.5; flags: none"
N1358114418,T1625,1358114418-0422,0.6839,3,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,335.39,788.65,11.02,3,0.00,3,11.02,9.45,28.35,1.17,1.73,,"3 frame(s); median area 6.0 px; net motion dx=18.5, dy=16.5; flags: none"
N1358114587,T1625,1358114587-0461,0.6839,3,20,co-iss-n1358114587,1358114587,2001-01-13T21:49:41.040,290.49,797.99,10.28,7,0.00,7,10.28,9.00,63.03,1.14,2.54,,"3 frame(s); median area 6.0 px; net motion dx=18.5, dy=16.5; flags: none"
N1358115096,T1625,1358115096-0394,0.6839,3,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,353.94,805.16,10.40,6,0.00,6,10.40,9.21,55.28,1.13,1.63,,"3 frame(s); median area 6.0 px; net motion dx=18.5, dy=16.5; flags: none"
N1358114418,T1686,1358114418-1694,0.6839,3,19,co-iss-n1358114418,1358114418,2001-01-13T21:47:24.033,358.16,909.81,8.82,5,0.00,5,8.82,8.14,40.69,1.08,2.14,,"3 frame(s); median area 5.0 px; net motion dx=30.7, dy=-80.8; flags: none"
N1358114587,T1686,1358114587-1138,0.6839,3,20,co-iss-n1358114587,1358114587,2001-01-13T21:49:41.040,412.16,888.26,9.61,5,0.00,5,9.61,8.46,42.29,1.14,1.07,,"3 frame(s); median area 5.0 px; net motion dx=30.7, dy=-80.8; flags: none"
N1358115096,T1686,1358115096-0583,0.6839,3,21,co-iss-n1358115096,1358115096,2001-01-13T21:59:18.060,388.85,829.02,11.25,5,0.00,5,11.25,9.14,45.71,1.23,3.84,,"3 frame(s); median area 5.0 px; net motion dx=30.7, dy=-80.8; flags: none"
N1358105418,T1108,1358105418-2694,0.6834,3,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,988.43,992.75,10.36,5,0.00,5,10.36,9.00,45.00,1.15,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-1.6, dy=-96.4; flags: none"
