blind_id,image_id,run_date,crop_url,x,y,snr,blob_size,artifact_flags_visible,frame_count,motion_consistency,reviewer_label,reviewer_confidence,reviewer_note,needs_second_review
BR-001,N1357352003,2001-01-05,/api/detection-crop?image=1357352003&x=627&y=751&crop=128,626.87,751.47,564.80,11,,1,1.000,,,,
BR-002,N1358063287,2001-01-13,/api/detection-crop?image=1358063287&x=399&y=299&crop=128,399.00,299.00,120.21,1,single_pixel|too_small,1,,,,,
BR-003,N1357676285,2001-01-08,/api/detection-crop?image=1357676285&x=731&y=735&crop=128,731.00,735.00,121.05,1,single_pixel|too_small,1,,,,,
BR-004,N1357649284,2001-01-08,/api/detection-crop?image=1357649284&x=402&y=601&crop=128,402.00,601.00,143.46,1,single_pixel|too_small,1,,,,,
BR-005,N1357352003,2001-01-05,/api/detection-crop?image=1357352003&x=402&y=601&crop=128,402.00,601.00,191.47,1,single_pixel|too_small,1,,,,,
BR-006,N1357811330,2001-01-10,/api/detection-crop?image=1357811330&x=637&y=276&crop=128,637.48,276.04,434.10,9,,1,1.000,,,,
BR-007,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=859&y=919&crop=128,859.48,919.10,16.78,6,,3,0.744,,,,
BR-008,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=558&y=822&crop=128,558.34,822.42,14.54,5,,3,0.847,,,,
BR-009,N1357665093,2001-01-08,/api/detection-crop?image=1357665093&x=807&y=164&crop=128,807.46,164.30,395.79,6,,1,1.000,,,,
BR-010,N1357806858,2001-01-10,/api/detection-crop?image=1357806858&x=402&y=601&crop=128,402.00,601.00,296.12,1,single_pixel|too_small,1,,,,,
BR-011,N1358117287,2001-01-13,/api/detection-crop?image=1358117287&x=402&y=601&crop=128,402.00,601.00,150.02,1,single_pixel|too_small,1,,,,,
BR-012,N1357658115,2001-01-08,/api/detection-crop?image=1357658115&x=402&y=601&crop=128,402.00,601.00,123.82,1,single_pixel|too_small,1,,,,,
BR-013,N1357649115,2001-01-08,/api/detection-crop?image=1357649115&x=402&y=601&crop=128,402.00,601.00,121.56,1,single_pixel|too_small,1,,,,,
BR-014,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=116&y=576&crop=128,116.23,575.74,47.55,5,,3,0.914,,,,
BR-015,N1356976983,2000-12-31,/api/detection-crop?image=1356976983&x=718&y=439&crop=128,718.12,439.44,39.54,4,,3,0.946,,,,
BR-016,N1357667116,2001-01-08,/api/detection-crop?image=1357667116&x=402&y=601&crop=128,402.00,601.00,122.69,1,single_pixel|too_small,1,,,,,
BR-017,N1357637415,2001-01-08,/api/detection-crop?image=1357637415&x=96&y=472&crop=128,95.74,471.57,284.94,7,,1,1.000,,,,
BR-018,N1358117287,2001-01-13,/api/detection-crop?image=1358117287&x=731&y=735&crop=128,731.00,735.00,132.23,1,single_pixel|too_small,1,,,,,
BR-019,N1357638093,2001-01-08,/api/detection-crop?image=1357638093&x=718&y=549&crop=128,717.61,548.63,173.37,5,,1,1.000,,,,
BR-020,N1357631284,2001-01-08,/api/detection-crop?image=1357631284&x=402&y=601&crop=128,402.00,601.00,137.63,1,single_pixel|too_small,1,,,,,
BR-021,N1358063287,2001-01-13,/api/detection-crop?image=1358063287&x=731&y=735&crop=128,731.00,735.00,128.50,1,single_pixel|too_small,1,,,,,
BR-022,N1357667285,2001-01-08,/api/detection-crop?image=1357667285&x=402&y=601&crop=128,402.00,601.00,141.09,1,single_pixel|too_small,1,,,,,
BR-023,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=753&y=567&crop=128,752.72,567.15,33.22,9,,3,0.412,,,,
BR-024,N1357885387,2001-01-11,/api/detection-crop?image=1357885387&x=770&y=340&crop=128,769.65,339.50,7.06,14,,1,,,,,
BR-025,N1357646415,2001-01-08,/api/detection-crop?image=1357646415&x=690&y=470&crop=128,689.56,470.36,305.50,8,,1,1.000,,,,
BR-026,N1358063118,2001-01-13,/api/detection-crop?image=1358063118&x=988&y=902&crop=128,988.00,902.00,200.02,1,single_pixel|too_small,1,,,,,
BR-027,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=382&y=864&crop=128,382.48,864.12,43.14,3,,3,0.857,,,,
BR-028,N1357685285,2001-01-08,/api/detection-crop?image=1357685285&x=731&y=735&crop=128,731.00,735.00,129.72,1,single_pixel|too_small,1,,,,,
BR-029,N1357676285,2001-01-08,/api/detection-crop?image=1357676285&x=402&y=601&crop=128,402.00,601.00,143.75,1,single_pixel|too_small,1,,,,,
BR-030,N1357658284,2001-01-08,/api/detection-crop?image=1357658284&x=402&y=601&crop=128,402.00,601.00,144.03,1,single_pixel|too_small,1,,,,,
BR-031,N1358117118,2001-01-13,/api/detection-crop?image=1358117118&x=402&y=601&crop=128,402.00,601.00,125.33,1,single_pixel|too_small,1,,,,,
BR-032,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=744&y=626&crop=128,744.43,625.61,30.54,5,,3,0.757,,,,
BR-033,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=516&y=404&crop=128,515.70,403.81,42.51,4,,3,0.879,,,,
BR-034,N1356976983,2000-12-31,/api/detection-crop?image=1356976983&x=714&y=944&crop=128,713.50,944.42,8.78,13,,3,0.984,,,,
