blind_id,candidate_id,image_id,run_date,reviewer_label,reviewer_confidence,reviewer_note,needs_second_review,suggested_human_label,review_batch,next_action,agreement,label_valid,confidence_valid
BR-001,1357352003-0272,N1357352003,2001-01-05,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-002,1358063287-0081,N1358063287,2001-01-13,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-003,1357676285-0213,N1357676285,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-004,1357649284-0160,N1357649284,2001-01-08,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-005,1357352003-0215,N1357352003,2001-01-05,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-006,1357811330-0180,N1357811330,2001-01-10,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-007,1356990399-0279,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,temporal_review,unlabeled,yes,yes
BR-008,1356985927-0354,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-009,1357665093-0016,N1357665093,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-010,1357806858-0398,N1357806858,2001-01-10,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-011,1358117287-0194,N1358117287,2001-01-13,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-012,1357658115-0139,N1357658115,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-013,1357649115-0135,N1357649115,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-014,1356985927-0197,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-015,1356976983-0147,N1356976983,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-016,1357667116-0147,N1357667116,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-017,1357637415-0069,N1357637415,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-018,1358117287-0242,N1358117287,2001-01-13,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-019,1357638093-0061,N1357638093,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-020,1357631284-0168,N1357631284,2001-01-08,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-021,1358063287-0234,N1358063287,2001-01-13,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-022,1357667285-0154,N1357667285,2001-01-08,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-023,1356985927-0189,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,temporal_review,unlabeled,yes,yes
BR-024,1357885387-0218,N1357885387,2001-01-11,,,,,known-lightning,01_known_validation_positive,confirm_known_validation_mark,unlabeled,yes,yes
BR-025,1357646415-0076,N1357646415,2001-01-08,,,,,uncertain,04_strong_single_frame_check,single_frame_visual_review,unlabeled,yes,yes
BR-026,1358063118-0224,N1358063118,2001-01-13,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-027,1356990399-0263,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-028,1357685285-0216,N1357685285,2001-01-08,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-029,1357676285-0173,N1357676285,2001-01-08,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-030,1357658284-0162,N1357658284,2001-01-08,,,,,cosmic-ray-hot-pixel,03_negative_artifact_examples,review_as_negative_example,unlabeled,yes,yes
BR-031,1358117118-0135,N1358117118,2001-01-13,,,,,cosmic-ray-hot-pixel,05_low_priority_hold,review_as_negative_example,unlabeled,yes,yes
BR-032,1356990399-0193,N1356990399,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
BR-033,1356985927-0123,N1356985927,2000-12-31,,,,,uncertain,02_temporal_persistence_check,priority_temporal_review,unlabeled,yes,yes
