candidate_id,image_id,run_date,observation_time,x,y,jupiter_latitude,jupiter_longitude,latitude_convention,longitude_convention,geometry_status,geometry_method,geometry_error,geometry_group_id,geometry_group_size
1357029177-0148,N1357029177,2001-01-01,2001-01-01T08:20:46.529,731.37,212.49,26.536009586308,162.63407247623,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0001,1
1357029177-0219,N1357029177,2001-01-01,2001-01-01T08:20:46.529,847.00,402.23,38.196773110058,165.06651001994,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0002,1
1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,-16.499649132725,82.459280800579,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0003,1
1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,-14.786886519008,83.221744288524,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0004,1
1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,-16.949636851636,79.916211844964,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0005,1
1357885387-0218,N1357885387,2001-01-11,2001-01-11T06:10:14.599,769.65,339.50,-15.147007998117,79.797369884111,planetographic-degrees,positive-west-0-360-degrees,computed,usgs-isis-ciss2isis-spiceinit-campt,,G0006,1
1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356990399-0080,N1356990399,2000-12-31,2000-12-31T21:34:28.797,900.63,316.07,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356990399-0013,N1356990399,2000-12-31,2000-12-31T21:34:28.797,626.28,57.49,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
1356990399-0030,N1356990399,2000-12-31,2000-12-31T21:34:28.797,445.85,114.86,,,planetocentric-degrees,positive-west-0-360-degrees-converted-from-east,no-surface-intersection,usgs-isis-ciss2isis-spiceinit-campt,Requested position does not project in camera model; no surface intersection,,
