candidate_id,image_id,run_date,review_batch,x,y,geometry_readiness,subobserver_lon_w,subsolar_lon_w,center_resolution_km_px,latitude_bounds,longitude_w_bounds,required_method,next_step
1357029177-0148,N1357029177,2001-01-01,01_known_validation_positive,731.37,212.49,frame_context_only,206.912,278.13,59.70812,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357029177-0219,N1357029177,2001-01-01,01_known_validation_positive,847.00,402.23,frame_context_only,206.912,278.13,59.70812,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357810970-0228,N1357810970,2001-01-10,01_known_validation_positive,951.80,333.08,frame_context_only,125.469,234.021,85.66921,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357810970-0239,N1357810970,2001-01-10,01_known_validation_positive,955.53,354.96,frame_context_only,125.469,234.021,85.66921,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357885387-0203,N1357885387,2001-01-11,01_known_validation_positive,776.00,318.00,frame_context_only,152.968,263.719,89.27488,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357885387-0218,N1357885387,2001-01-11,01_known_validation_positive,769.65,339.50,frame_context_only,152.968,263.719,89.27488,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0202,N1356990399,2000-12-31,02_temporal_persistence_check,402.62,656.20,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356976983-0161,N1356976983,2000-12-31,02_temporal_persistence_check,62.82,480.68,frame_context_only,44.478,112.302,59.16949,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0080,N1356990399,2000-12-31,02_temporal_persistence_check,900.63,316.07,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0141,N1356985927,2000-12-31,02_temporal_persistence_check,730.33,432.12,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0245,N1356985927,2000-12-31,02_temporal_persistence_check,612.58,709.56,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0162,N1356985927,2000-12-31,02_temporal_persistence_check,835.23,498.82,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0013,N1356990399,2000-12-31,02_temporal_persistence_check,626.28,57.49,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0123,N1356985927,2000-12-31,02_temporal_persistence_check,515.70,403.81,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0030,N1356990399,2000-12-31,02_temporal_persistence_check,445.85,114.86,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356976983-0147,N1356976983,2000-12-31,02_temporal_persistence_check,718.12,439.44,frame_context_only,44.478,112.302,59.16949,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0193,N1356990399,2000-12-31,02_temporal_persistence_check,744.43,625.61,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0086,N1356990399,2000-12-31,02_temporal_persistence_check,647.43,332.24,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0056,N1356990399,2000-12-31,02_temporal_persistence_check,218.44,234.51,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0197,N1356985927,2000-12-31,02_temporal_persistence_check,116.23,575.74,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0308,N1356985927,2000-12-31,02_temporal_persistence_check,922.55,771.33,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0263,N1356990399,2000-12-31,02_temporal_persistence_check,382.48,864.12,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356981455-0275,N1356981455,2000-12-31,02_temporal_persistence_check,343.62,791.13,frame_context_only,89.238,157.355,59.20797,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356981455-0109,N1356981455,2000-12-31,02_temporal_persistence_check,909.59,321.38,frame_context_only,89.238,157.355,59.20797,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0012,N1356985927,2000-12-31,02_temporal_persistence_check,493.50,54.00,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0354,N1356985927,2000-12-31,02_temporal_persistence_check,558.34,822.42,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356976983-0402,N1356976983,2000-12-31,02_temporal_persistence_check,713.50,944.42,frame_context_only,44.478,112.302,59.16949,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0074,N1356985927,2000-12-31,02_temporal_persistence_check,905.42,252.21,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0055,N1356985927,2000-12-31,02_temporal_persistence_check,451.71,196.90,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0348,N1356990399,2000-12-31,02_temporal_persistence_check,734.98,945.68,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356990399-0279,N1356990399,2000-12-31,02_temporal_persistence_check,859.48,919.10,frame_context_only,178.759,247.461,59.28928,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0189,N1356985927,2000-12-31,02_temporal_persistence_check,752.72,567.15,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0173,N1356985927,2000-12-31,02_temporal_persistence_check,180.25,527.56,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356976983-0095,N1356976983,2000-12-31,02_temporal_persistence_check,389.49,311.88,frame_context_only,44.478,112.302,59.16949,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356985927-0198,N1356985927,2000-12-31,02_temporal_persistence_check,433.66,575.91,frame_context_only,133.998,202.408,59.2479,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1356976983-0286,N1356976983,2000-12-31,02_temporal_persistence_check,349.71,798.22,frame_context_only,44.478,112.302,59.16949,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357685116-0026,N1357685116,2001-01-08,03_negative_artifact_examples,715.00,96.00,image_bounds_only,301.752,46.13,79.86619,-86.394..-21.196,317.408..41.102,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357806858-0398,N1357806858,2001-01-10,03_negative_artifact_examples,402.00,601.00,frame_context_only,84.171,192.595,85.47347,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357811330-0392,N1357811330,2001-01-10,03_negative_artifact_examples,402.00,601.00,frame_context_only,129.085,237.648,85.68636,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1358063118-0224,N1358063118,2001-01-13,03_negative_artifact_examples,988.00,902.00,image_bounds_only,138.92,254.23,98.30992,7.22..83.569,146.312..212.411,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357352003-0215,N1357352003,2001-01-05,03_negative_artifact_examples,402.00,601.00,frame_context_only,200.379,290.418,66.98342,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
