review_rank,candidate_id,image_id,image_number,run_date,x,y,snr,blob_size,artifact_flags,candidate_score,next_action,suggested_label,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
1,1357029177-0148,N1357029177,1357029177,2001-01-01,731.37,212.49,27.55,75,,0.6277,confirm_known_validation_mark,known-lightning,,,,,first-review,,
2,1357029177-0219,N1357029177,1357029177,2001-01-01,847.00,402.23,24.75,13,,0.4360,confirm_known_validation_mark,known-lightning,,,,,first-review,,
3,1357810970-0228,N1357810970,1357810970,2001-01-10,951.80,333.08,8.14,15,,0.3364,confirm_known_validation_mark,known-lightning,,,,,first-review,,
4,1357810970-0239,N1357810970,1357810970,2001-01-10,955.53,354.96,7.92,87,,0.0000,confirm_known_validation_mark,known-lightning,,,,,first-review,,
5,1357885387-0203,N1357885387,1357885387,2001-01-11,776.00,318.00,7.50,1,single_pixel|too_small,0.0000,confirm_known_validation_mark,known-lightning,,,,,first-review,,
6,1357885387-0218,N1357885387,1357885387,2001-01-11,769.65,339.50,7.06,14,,0.0000,confirm_known_validation_mark,known-lightning,,,,,first-review,,
7,1356990399-0202,N1356990399,1356990399,2000-12-31,402.62,656.20,41.20,5,,0.7672,priority_temporal_review,uncertain,,,,,first-review,,
8,1356976983-0161,N1356976983,1356976983,2000-12-31,62.82,480.68,31.42,4,,0.7556,priority_temporal_review,uncertain,,,,,first-review,,
9,1356990399-0080,N1356990399,1356990399,2000-12-31,900.63,316.07,30.93,6,,0.7438,priority_temporal_review,uncertain,,,,,first-review,,
10,1356985927-0141,N1356985927,1356985927,2000-12-31,730.33,432.12,36.45,4,,0.7429,priority_temporal_review,uncertain,,,,,first-review,,
11,1356985927-0245,N1356985927,1356985927,2000-12-31,612.58,709.56,23.17,4,,0.7424,priority_temporal_review,uncertain,,,,,first-review,,
12,1356985927-0162,N1356985927,1356985927,2000-12-31,835.23,498.82,24.92,3,,0.7383,priority_temporal_review,uncertain,,,,,first-review,,
13,1356990399-0013,N1356990399,1356990399,2000-12-31,626.28,57.49,31.06,3,,0.7344,priority_temporal_review,uncertain,,,,,first-review,,
14,1356985927-0123,N1356985927,1356985927,2000-12-31,515.70,403.81,42.51,4,,0.7323,priority_temporal_review,uncertain,,,,,first-review,,
15,1356990399-0030,N1356990399,1356990399,2000-12-31,445.85,114.86,46.63,3,,0.7305,priority_temporal_review,uncertain,,,,,first-review,,
16,1356976983-0147,N1356976983,1356976983,2000-12-31,718.12,439.44,39.54,4,,0.7305,priority_temporal_review,uncertain,,,,,first-review,,
17,1356990399-0193,N1356990399,1356990399,2000-12-31,744.43,625.61,30.54,5,,0.7268,priority_temporal_review,uncertain,,,,,first-review,,
18,1356990399-0086,N1356990399,1356990399,2000-12-31,647.43,332.24,18.02,3,,0.7190,priority_temporal_review,uncertain,,,,,first-review,,
19,1356990399-0056,N1356990399,1356990399,2000-12-31,218.44,234.51,46.05,4,,0.7166,priority_temporal_review,uncertain,,,,,first-review,,
20,1356985927-0197,N1356985927,1356985927,2000-12-31,116.23,575.74,47.55,5,,0.7160,priority_temporal_review,uncertain,,,,,first-review,,
21,1356985927-0308,N1356985927,1356985927,2000-12-31,922.55,771.33,16.06,3,,0.7097,priority_temporal_review,uncertain,,,,,first-review,,
22,1356990399-0263,N1356990399,1356990399,2000-12-31,382.48,864.12,43.14,3,,0.7018,priority_temporal_review,uncertain,,,,,first-review,,
23,1356981455-0275,N1356981455,1356981455,2000-12-31,343.62,791.13,38.33,10,,0.6962,priority_temporal_review,uncertain,,,,,first-review,,
24,1356981455-0109,N1356981455,1356981455,2000-12-31,909.59,321.38,14.01,3,,0.6950,priority_temporal_review,uncertain,,,,,first-review,,
25,1356985927-0012,N1356985927,1356985927,2000-12-31,493.50,54.00,11.67,4,,0.6917,priority_temporal_review,uncertain,,,,,first-review,,
26,1356985927-0354,N1356985927,1356985927,2000-12-31,558.34,822.42,14.54,5,,0.6866,priority_temporal_review,uncertain,,,,,first-review,,
27,1356976983-0402,N1356976983,1356976983,2000-12-31,713.50,944.42,8.78,13,,0.6862,priority_temporal_review,uncertain,,,,,first-review,,
28,1356985927-0074,N1356985927,1356985927,2000-12-31,905.42,252.21,35.64,3,,0.6822,priority_temporal_review,uncertain,,,,,first-review,,
29,1356985927-0055,N1356985927,1356985927,2000-12-31,451.71,196.90,44.99,3,,0.6815,priority_temporal_review,uncertain,,,,,first-review,,
30,1356990399-0348,N1356990399,1356990399,2000-12-31,734.98,945.68,8.34,3,,0.7089,temporal_review,uncertain,,,,,first-review,,
31,1356990399-0279,N1356990399,1356990399,2000-12-31,859.48,919.10,16.78,6,,0.6985,temporal_review,uncertain,,,,,first-review,,
