run_date,run_label,frame_index,opus_id,image_id,image_number,time,duration_seconds,camera,filter,center_resolution_km_px,candidate_count,review_candidate_count,calibrated_image,calibrated_label,preview_image
2000-12-31,"December 31, 2000 NAC/H-alpha",0,co-iss-n1356976983,N1356976983,1356976983,2000-12-31T17:50:52.890,32,Narrow Angle,HAL,59.16949,413,41,data\calibrated\N1356976983_4_CALIB.IMG,data\calibrated\N1356976983_4_CALIB.LBL,data\previews\N1356976983_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",1,co-iss-n1356977373,N1356977373,1356977373,2000-12-31T17:57:22.887,32,Narrow Angle,HAL,59.17279,359,36,data\calibrated\N1356977373_4_CALIB.IMG,data\calibrated\N1356977373_4_CALIB.LBL,data\previews\N1356977373_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",2,co-iss-n1356977733,N1356977733,1356977733,2000-12-31T18:03:22.885,32,Narrow Angle,HAL,59.17584,427,62,data\calibrated\N1356977733_4_CALIB.IMG,data\calibrated\N1356977733_4_CALIB.LBL,data\previews\N1356977733_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",3,co-iss-n1356981455,N1356981455,1356981455,2000-12-31T19:05:24.859,32,Narrow Angle,HAL,59.20797,398,46,data\calibrated\N1356981455_4_CALIB.IMG,data\calibrated\N1356981455_4_CALIB.LBL,data\previews\N1356981455_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",4,co-iss-n1356981845,N1356981845,1356981845,2000-12-31T19:11:54.857,32,Narrow Angle,HAL,59.21139,364,35,data\calibrated\N1356981845_4_CALIB.IMG,data\calibrated\N1356981845_4_CALIB.LBL,data\previews\N1356981845_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",5,co-iss-n1356982205,N1356982205,1356982205,2000-12-31T19:17:54.854,32,Narrow Angle,HAL,59.21457,412,38,data\calibrated\N1356982205_4_CALIB.IMG,data\calibrated\N1356982205_4_CALIB.LBL,data\previews\N1356982205_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",6,co-iss-n1356985927,N1356985927,1356985927,2000-12-31T20:19:56.828,32,Narrow Angle,HAL,59.2479,539,70,data\calibrated\N1356985927_4_CALIB.IMG,data\calibrated\N1356985927_4_CALIB.LBL,data\previews\N1356985927_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",7,co-iss-n1356986317,N1356986317,1356986317,2000-12-31T20:26:26.826,32,Narrow Angle,HAL,59.25145,411,37,data\calibrated\N1356986317_4_CALIB.IMG,data\calibrated\N1356986317_4_CALIB.LBL,data\previews\N1356986317_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",8,co-iss-n1356986677,N1356986677,1356986677,2000-12-31T20:32:26.823,32,Narrow Angle,HAL,59.25474,425,50,data\calibrated\N1356986677_4_CALIB.IMG,data\calibrated\N1356986677_4_CALIB.LBL,data\previews\N1356986677_4_full.png
2000-12-31,"December 31, 2000 NAC/H-alpha",9,co-iss-n1356990399,N1356990399,1356990399,2000-12-31T21:34:28.797,32,Narrow Angle,HAL,59.28928,363,40,data\calibrated\N1356990399_4_CALIB.IMG,data\calibrated\N1356990399_4_CALIB.LBL,data\previews\N1356990399_4_full.png
