run_date,image_id,opus_id,calibrated_image_exists,calibrated_label_exists,metadata_exists,image_lines,line_samples,image_dimensions_ready,label_fields_present,pds_timing_ready,image_mid_time,spacecraft_clock_start,instrument_id,filter_name,opus_geometry_fields_present,image_level_geometry_ready,subobserver_lon_w,subsolar_lon_w,center_resolution_km_px,camera_model_ready,local_spice_kernels_found,spice_ready,projection_input_status,blocking_inputs
2000-12-31,N1356976983,co-iss-n1356976983,yes,yes,yes,1024,1024,yes,11,yes,2000-366T17:51:08.890,1356976951.118,ISSNA,"(""HAL"",""CL2"")",11,yes,44.478,112.302,59.16949,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356977373,co-iss-n1356977373,yes,yes,yes,1024,1024,yes,11,yes,2000-366T17:57:38.887,1356977341.118,ISSNA,"(""HAL"",""CL2"")",11,yes,48.381,116.231,59.17279,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356977733,co-iss-n1356977733,yes,yes,yes,1024,1024,yes,11,yes,2000-366T18:03:38.885,1356977701.118,ISSNA,"(""HAL"",""CL2"")",11,yes,51.984,119.857,59.17584,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356981455,co-iss-n1356981455,yes,yes,yes,1024,1024,yes,11,yes,2000-366T19:05:40.859,1356981423.118,ISSNA,"(""HAL"",""CL2"")",11,yes,89.238,157.355,59.20797,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356981845,co-iss-n1356981845,yes,yes,yes,1024,1024,yes,11,yes,2000-366T19:12:10.857,1356981813.118,ISSNA,"(""HAL"",""CL2"")",11,yes,93.141,161.284,59.21139,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356982205,co-iss-n1356982205,yes,yes,yes,1024,1024,yes,11,yes,2000-366T19:18:10.854,1356982173.118,ISSNA,"(""HAL"",""CL2"")",11,yes,96.744,164.911,59.21457,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356985927,co-iss-n1356985927,yes,yes,yes,1024,1024,yes,11,yes,2000-366T20:20:12.828,1356985895.118,ISSNA,"(""HAL"",""CL2"")",11,yes,133.998,202.408,59.2479,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356986317,co-iss-n1356986317,yes,yes,yes,1024,1024,yes,11,yes,2000-366T20:26:42.826,1356986285.118,ISSNA,"(""HAL"",""CL2"")",11,yes,137.902,206.337,59.25145,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356986677,co-iss-n1356986677,yes,yes,yes,1024,1024,yes,11,yes,2000-366T20:32:42.823,1356986645.118,ISSNA,"(""HAL"",""CL2"")",11,yes,141.505,209.964,59.25474,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356990399,co-iss-n1356990399,yes,yes,yes,1024,1024,yes,11,yes,2000-366T21:34:44.797,1356990367.118,ISSNA,"(""HAL"",""CL2"")",11,yes,178.759,247.461,59.28928,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356990789,co-iss-n1356990789,yes,yes,yes,1024,1024,yes,11,yes,2000-366T21:41:14.795,1356990757.118,ISSNA,"(""HAL"",""CL2"")",11,yes,182.663,251.39,59.29296,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2000-12-31,N1356991149,co-iss-n1356991149,yes,yes,yes,1024,1024,yes,11,yes,2000-366T21:47:14.792,1356991117.118,ISSNA,"(""HAL"",""CL2"")",11,yes,186.266,255.017,59.29636,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357008677,co-iss-n1357008677,yes,yes,yes,1024,1024,yes,11,yes,2001-001T02:39:22.671,1357008645.118,ISSNA,"(""HAL"",""CL2"")",11,yes,1.71,71.603,59.47335,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357009037,co-iss-n1357009037,yes,yes,yes,1024,1024,yes,11,yes,2001-001T02:45:22.668,1357009005.118,ISSNA,"(""HAL"",""CL2"")",11,yes,5.314,75.23,59.47722,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357015011,co-iss-n1357015011,yes,yes,yes,1024,1024,yes,11,yes,2001-001T04:24:56.627,1357014979.118,ISSNA,"(""HAL"",""CL2"")",11,yes,65.112,135.415,59.54271,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357015401,co-iss-n1357015401,yes,yes,yes,1024,1024,yes,11,yes,2001-001T04:31:26.624,1357015369.118,ISSNA,"(""HAL"",""CL2"")",11,yes,69.015,139.344,59.54708,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357015761,co-iss-n1357015761,yes,yes,yes,1024,1024,yes,11,yes,2001-001T04:37:26.622,1357015729.118,ISSNA,"(""HAL"",""CL2"")",11,yes,72.619,142.971,59.55111,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357019483,co-iss-n1357019483,yes,yes,yes,1024,1024,yes,11,yes,2001-001T05:39:28.596,1357019451.118,ISSNA,"(""HAL"",""CL2"")",11,yes,109.875,180.468,59.5934,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357019873,co-iss-n1357019873,yes,yes,yes,1024,1024,yes,11,yes,2001-001T05:45:58.593,1357019841.118,ISSNA,"(""HAL"",""CL2"")",11,yes,113.779,184.397,59.59788,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357020233,co-iss-n1357020233,yes,yes,yes,1024,1024,yes,11,yes,2001-001T05:51:58.591,1357020201.118,ISSNA,"(""HAL"",""CL2"")",11,yes,117.383,188.024,59.60204,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357023955,co-iss-n1357023955,yes,yes,yes,1024,1024,yes,11,yes,2001-001T06:54:00.565,1357023923.118,ISSNA,"(""HAL"",""CL2"")",11,yes,154.64,225.521,59.6455,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357024345,co-iss-n1357024345,yes,yes,yes,1024,1024,yes,11,yes,2001-001T07:00:30.562,1357024313.118,ISSNA,"(""HAL"",""CL2"")",11,yes,158.543,229.45,59.65011,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357024705,co-iss-n1357024705,yes,yes,yes,1024,1024,yes,11,yes,2001-001T07:06:30.560,1357024673.118,ISSNA,"(""HAL"",""CL2"")",11,yes,162.147,233.077,59.65437,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357028427,co-iss-n1357028427,yes,yes,yes,1024,1024,yes,11,yes,2001-001T08:08:32.534,1357028395.118,ISSNA,"(""HAL"",""CL2"")",11,yes,199.404,270.574,59.69901,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
2001-01-01,N1357028817,co-iss-n1357028817,yes,yes,yes,1024,1024,yes,11,yes,2001-001T08:15:02.531,1357028785.118,ISSNA,"(""HAL"",""CL2"")",11,yes,203.308,274.503,59.70374,no,0,no,blocked,missing_documented_iss_camera_model|missing_local_spice_kernels
