run_date,image_id,opus_id,time,metadata_file,metadata_available,subobserver_lat,subobserver_lon_w,subsolar_lat,subsolar_lon_w,range_to_body_km,center_resolution_km_px,center_phase_angle,incidence_min,incidence_max,emission_min,emission_max,latitude_min,latitude_max,longitude_w_min,longitude_w_max,geometry_context_available,candidate_latlon_ready,available_geometry_fields,readiness_note
2000-12-31,N1356976983,co-iss-n1356976983,2000-12-31T17:50:52.890,data/metadata/co-iss-n1356976983.json,yes,-0.328,44.478,3.308,112.302,9810809.924,59.16949,67.865,91.614,152.907,26.768,89.836,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356977373,co-iss-n1356977373,2000-12-31T17:57:22.887,data/metadata/co-iss-n1356977373.json,yes,-0.33,48.381,3.308,116.231,9809440.019,59.17279,67.89,90.138,155.836,22.638,89.77,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356977733,co-iss-n1356977733,2000-12-31T18:03:22.885,data/metadata/co-iss-n1356977733.json,yes,-0.332,51.984,3.308,119.857,9811672.355,59.17584,67.914,90.098,151.473,26.395,89.612,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356981455,co-iss-n1356981455,2000-12-31T19:05:24.859,data/metadata/co-iss-n1356981455.json,yes,-0.35,89.238,3.308,157.355,9817222.109,59.20797,68.158,91.853,152.676,26.754,89.573,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356981845,co-iss-n1356981845,2000-12-31T19:11:54.857,data/metadata/co-iss-n1356981845.json,yes,-0.352,93.141,3.308,161.284,9815713.898,59.21139,68.184,90.071,156.557,22.28,89.294,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356982205,co-iss-n1356982205,2000-12-31T19:17:54.854,data/metadata/co-iss-n1356982205.json,yes,-0.354,96.744,3.308,164.911,9818064.941,59.21457,68.208,90.176,149.926,26.275,89.437,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356985927,co-iss-n1356985927,2000-12-31T20:19:56.828,data/metadata/co-iss-n1356985927.json,yes,-0.372,133.998,3.308,202.408,9823927.731,59.2479,68.452,92.317,152.931,26.815,89.83,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356986317,co-iss-n1356986317,2000-12-31T20:26:26.826,data/metadata/co-iss-n1356986317.json,yes,-0.374,137.902,3.308,206.337,9822504.724,59.25145,68.477,90.583,157.216,22.503,89.874,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356986677,co-iss-n1356986677,2000-12-31T20:32:26.823,data/metadata/co-iss-n1356986677.json,yes,-0.376,141.505,3.308,209.964,9824965.318,59.25474,68.501,90.816,149.989,26.632,89.703,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
2000-12-31,N1356990399,co-iss-n1356990399,2000-12-31T21:34:28.797,data/metadata/co-iss-n1356990399.json,yes,-0.394,178.759,3.308,247.461,9830879.024,59.28928,68.745,92.66,155.21,26.9,89.916,,,,,yes,no,11,Image-level viewing geometry exists; per-candidate latitude/longitude requires camera/SPICE mapping.
