review_rank,candidate_id,image_id,run_date,candidate_time,candidate_x,candidate_y,next_action,suggested_label,context_status,context_opus_id,context_time,context_filter,context_duration_seconds,delta_minutes,context_center_resolution_km_px
1,1357029177-0148,N1357029177,2001-01-01,2001-01-01T08:20:46.529,731.37,212.49,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357029966,2001-01-01T08:34:27.063,BL1,0.46,13.68,59.71794
1,1357029177-0148,N1357029177,2001-01-01,2001-01-01T08:20:46.529,731.37,212.49,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357030002,2001-01-01T08:35:03.071,CB2,0.46,14.28,59.71838
1,1357029177-0148,N1357029177,2001-01-01,2001-01-01T08:20:46.529,731.37,212.49,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028137,2001-01-01T08:03:55.344,MT3,3.2,16.85,119.39134
1,1357029177-0148,N1357029177,2001-01-01,2001-01-01T08:20:46.529,731.37,212.49,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028097,2001-01-01T08:03:17.036,MT2,1.5,17.49,59.6952
1,1357029177-0148,N1357029177,2001-01-01,2001-01-01T08:20:46.529,731.37,212.49,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028060,2001-01-01T08:02:40.641,CB2,1.2,18.10,59.69475
1,1357029177-0148,N1357029177,2001-01-01,2001-01-01T08:20:46.529,731.37,212.49,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028023,2001-01-01T08:02:04.157,BL1,0.38,18.71,59.69431
2,1357029177-0219,N1357029177,2001-01-01,2001-01-01T08:20:46.529,847.00,402.23,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357029966,2001-01-01T08:34:27.063,BL1,0.46,13.68,59.71794
2,1357029177-0219,N1357029177,2001-01-01,2001-01-01T08:20:46.529,847.00,402.23,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357030002,2001-01-01T08:35:03.071,CB2,0.46,14.28,59.71838
2,1357029177-0219,N1357029177,2001-01-01,2001-01-01T08:20:46.529,847.00,402.23,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028137,2001-01-01T08:03:55.344,MT3,3.2,16.85,119.39134
2,1357029177-0219,N1357029177,2001-01-01,2001-01-01T08:20:46.529,847.00,402.23,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028097,2001-01-01T08:03:17.036,MT2,1.5,17.49,59.6952
2,1357029177-0219,N1357029177,2001-01-01,2001-01-01T08:20:46.529,847.00,402.23,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028060,2001-01-01T08:02:40.641,CB2,1.2,18.10,59.69475
2,1357029177-0219,N1357029177,2001-01-01,2001-01-01T08:20:46.529,847.00,402.23,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357028023,2001-01-01T08:02:04.157,BL1,0.38,18.71,59.69431
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810242,2001-01-10T09:18:54.928,MT3,3.2,11.05,171.27214
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810202,2001-01-10T09:18:16.620,MT2,1.5,11.69,85.63421
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810165,2001-01-10T09:17:40.225,CB2,1.2,12.30,85.63246
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810128,2001-01-10T09:17:03.661,BL1,0.46,12.91,85.63071
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809912,2001-01-10T09:13:24.930,MT3,3.2,16.55,171.24071
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809872,2001-01-10T09:12:46.622,MT2,1.5,17.19,85.61849
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809835,2001-01-10T09:12:10.231,CB2,1.2,17.80,85.61675
3,1357810970-0228,N1357810970,2001-01-10,2001-01-10T09:29:58.115,951.80,333.08,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809798,2001-01-10T09:11:33.663,BL1,0.46,18.41,85.61499
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810242,2001-01-10T09:18:54.928,MT3,3.2,11.05,171.27214
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810202,2001-01-10T09:18:16.620,MT2,1.5,11.69,85.63421
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810165,2001-01-10T09:17:40.225,CB2,1.2,12.30,85.63246
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357810128,2001-01-10T09:17:03.661,BL1,0.46,12.91,85.63071
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809912,2001-01-10T09:13:24.930,MT3,3.2,16.55,171.24071
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809872,2001-01-10T09:12:46.622,MT2,1.5,17.19,85.61849
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809835,2001-01-10T09:12:10.231,CB2,1.2,17.80,85.61675
4,1357810970-0239,N1357810970,2001-01-10,2001-01-10T09:29:58.115,955.53,354.96,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357809798,2001-01-10T09:11:33.663,BL1,0.46,18.41,85.61499
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884659,2001-01-11T05:59:11.412,MT3,3.2,11.05,178.48128
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884619,2001-01-11T05:58:33.105,MT2,1.5,11.69,89.23871
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884582,2001-01-11T05:57:56.710,CB2,1.2,12.30,89.23692
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884545,2001-01-11T05:57:20.145,BL1,0.46,12.91,89.2351
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884329,2001-01-11T05:53:41.415,MT3,3.2,16.55,178.4488
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884289,2001-01-11T05:53:03.107,MT2,1.5,17.19,89.22247
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884252,2001-01-11T05:52:26.716,CB2,1.2,17.80,89.22068
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884215,2001-01-11T05:51:50.148,BL1,0.46,18.41,89.21886
5,1357885387-0203,N1357885387,2001-01-11,2001-01-11T06:10:14.599,776.00,318.00,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357886488,2001-01-11T06:29:43.032,BL1,0.56,19.47,89.33075
6,1357885387-0218,N1357885387,2001-01-11,2001-01-11T06:10:14.599,769.65,339.50,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884659,2001-01-11T05:59:11.412,MT3,3.2,11.05,178.48128
6,1357885387-0218,N1357885387,2001-01-11,2001-01-11T06:10:14.599,769.65,339.50,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884619,2001-01-11T05:58:33.105,MT2,1.5,11.69,89.23871
6,1357885387-0218,N1357885387,2001-01-11,2001-01-11T06:10:14.599,769.65,339.50,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357884582,2001-01-11T05:57:56.710,CB2,1.2,12.30,89.23692
