date,status,available_frames,duration_seconds,first_time,last_time,processed,notes
2000-12-28,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2000-12-29,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2000-12-30,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2000-12-31,available,12,32,2000-12-31T17:50:52.890,2000-12-31T21:46:58.792,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-01,available,23,32,2001-01-01T02:39:06.671,2001-01-01T12:04:22.436,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-02,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2001-01-03,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2001-01-04,available,17,32,2001-01-04T15:20:52.559,2001-01-04T23:00:34.368,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-05,available,22,32,2001-01-05T00:02:36.342,2001-01-05T09:34:23.105,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-06,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2001-01-07,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2001-01-08,available,54,100|32|68,2001-01-08T06:47:24.399,2001-01-08T23:19:41.994,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-09,available,11,100|68,2001-01-09T00:17:24.962,2001-01-09T23:02:10.376,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-10,available,26,68,2001-01-10T00:04:12.350,2001-01-10T23:57:34.754,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-11,available,31,68,2001-01-11T00:03:34.752,2001-01-11T13:06:26.427,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-12,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2001-01-13,available,25,100|32|68,2001-01-13T06:59:18.433,2001-01-13T22:44:18.041,yes,Cassini ISS NAC/HAL Jupiter query
2001-01-14,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2001-01-15,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
2001-01-16,no_hal_nac_results,0,,,,no,Cassini ISS NAC/HAL Jupiter query
