review_order,review_batch,candidate_id,image_id,run_date,x,y,crop_url,next_action,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt
77,05_low_priority_hold,1357667285-0006,N1357667285,2001-01-08,164.95,31.31,/api/detection-crop?image=1357667285&x=165&y=31&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,287.36,4,,1,1.000,0.3375,Record whether it looks diffuse/multi-pixel or too isolated to trust.
78,05_low_priority_hold,1357667794-0108,N1357667794,2001-01-08,895.25,681.83,/api/detection-crop?image=1357667794&x=895&y=682&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,270.60,4,,1,1.000,0.3375,Record whether it looks diffuse/multi-pixel or too isolated to trust.
79,05_low_priority_hold,1357685285-0055,N1357685285,2001-01-08,906.18,154.87,/api/detection-crop?image=1357685285&x=906&y=155&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,255.45,4,,1,1.000,0.3375,Record whether it looks diffuse/multi-pixel or too isolated to trust.
80,05_low_priority_hold,1357664584-0715,N1357664584,2001-01-08,153.93,752.40,/api/detection-crop?image=1357664584&x=154&y=752&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,243.76,4,,1,1.000,0.3375,Record whether it looks diffuse/multi-pixel or too isolated to trust.
81,05_low_priority_hold,1358117118-0033,N1358117118,2001-01-13,979.81,140.15,/api/detection-crop?image=1358117118&x=980&y=140&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,184.23,4,,1,1.000,0.3375,Record whether it looks diffuse/multi-pixel or too isolated to trust.
82,05_low_priority_hold,1357673416-1543,N1357673416,2001-01-08,158.93,814.90,/api/detection-crop?image=1357673416&x=159&y=815&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,178.46,4,,1,1.000,0.3375,Record whether it looks diffuse/multi-pixel or too isolated to trust.
83,05_low_priority_hold,1357673585-0019,N1357673585,2001-01-08,98.12,89.79,/api/detection-crop?image=1357673585&x=98&y=90&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,250.98,3,,1,1.000,0.3125,Record whether it looks diffuse/multi-pixel or too isolated to trust.
84,05_low_priority_hold,1357685285-0071,N1357685285,2001-01-08,587.04,220.95,/api/detection-crop?image=1357685285&x=587&y=221&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,205.82,3,,1,1.000,0.3125,Record whether it looks diffuse/multi-pixel or too isolated to trust.
85,05_low_priority_hold,1357646584-0889,N1357646584,2001-01-08,616.14,779.43,/api/detection-crop?image=1357646584&x=616&y=779&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,205.13,3,,1,1.000,0.3125,Record whether it looks diffuse/multi-pixel or too isolated to trust.
86,05_low_priority_hold,1358114587-0121,N1358114587,2001-01-13,622.86,585.04,/api/detection-crop?image=1358114587&x=623&y=585&crop=128,single_frame_visual_review,uncertain,Hold for later review after the first labeling pass.,178.89,3,,1,1.000,0.3125,Record whether it looks diffuse/multi-pixel or too isolated to trust.
87,05_low_priority_hold,1358117287-0242,N1358117287,2001-01-13,731.00,735.00,/api/detection-crop?image=1358117287&x=731&y=735&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,132.23,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
88,05_low_priority_hold,1358108118-0149,N1358108118,2001-01-13,402.00,601.00,/api/detection-crop?image=1358108118&x=402&y=601&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,131.08,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
89,05_low_priority_hold,1358108287-0236,N1358108287,2001-01-13,731.00,735.00,/api/detection-crop?image=1358108287&x=731&y=735&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,129.94,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
90,05_low_priority_hold,1357685285-0216,N1357685285,2001-01-08,731.00,735.00,/api/detection-crop?image=1357685285&x=731&y=735&crop=128,review_as_negative_example,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,129.72,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other."
