session_id,session_order,review_batch,candidate_count,candidate_ids,output_csv,review_goal,allowed_labels,pass_condition,training_use,status
S001_01_known_validation_positive,1,01_known_validation_positive,6,1357029177-0148|1357029177-0219|1357810970-0228|1357810970-0239|1357885387-0203|1357885387-0218,review_sessions/S001_01_known_validation_positive.csv,Confirm the published validation matches first.,"known-lightning, uncertain","Every row has reviewer, confidence, note, and visual confirmation or uncertainty reason.",Positive validation only after human confirmation.,ready_for_human_review
S002_02_temporal_persistence_check,2,02_temporal_persistence_check,10,1356990399-0202|1356976983-0161|1356990399-0080|1356985927-0141|1356985927-0245|1356985927-0162|1356990399-0013|1356985927-0123|1356990399-0030|1356976983-0147,review_sessions/S002_02_temporal_persistence_check.csv,Decide whether repeated candidates look physically plausible across frames.,"possible-lightning, artifact, cosmic-ray-hot-pixel, uncertain","Every note mentions repeat behavior, motion, or why temporal evidence is weak.",Hold as possible positives until second review or geometry support exists.,ready_for_human_review
S003_02_temporal_persistence_check,3,02_temporal_persistence_check,10,1356990399-0193|1356990399-0086|1356990399-0056|1356985927-0197|1356985927-0308|1356990399-0263|1356981455-0275|1356981455-0109|1356985927-0012|1356985927-0354,review_sessions/S003_02_temporal_persistence_check.csv,Decide whether repeated candidates look physically plausible across frames.,"possible-lightning, artifact, cosmic-ray-hot-pixel, uncertain","Every note mentions repeat behavior, motion, or why temporal evidence is weak.",Hold as possible positives until second review or geometry support exists.,ready_for_human_review
S004_02_temporal_persistence_check,4,02_temporal_persistence_check,10,1356976983-0402|1356985927-0074|1356985927-0055|1356990399-0348|1356990399-0279|1356985927-0189|1356985927-0173|1356976983-0095|1356985927-0198|1356976983-0286,review_sessions/S004_02_temporal_persistence_check.csv,Decide whether repeated candidates look physically plausible across frames.,"possible-lightning, artifact, cosmic-ray-hot-pixel, uncertain","Every note mentions repeat behavior, motion, or why temporal evidence is weak.",Hold as possible positives until second review or geometry support exists.,ready_for_human_review
S005_03_negative_artifact_examples,5,03_negative_artifact_examples,10,1357685116-0026|1357806858-0398|1357811330-0392|1358063118-0224|1357352003-0215|1357691416-0701|1358117118-0283|1357806858-0226|1358108287-0180|1357352003-0267,review_sessions/S005_03_negative_artifact_examples.csv,Collect clear artifact and cosmic-ray/hot-pixel negatives.,"artifact, cosmic-ray-hot-pixel, uncertain",At least 20 high-confidence negative labels across negative sessions.,Negative examples if high confidence and note explains artifact reason.,ready_for_human_review
S006_03_negative_artifact_examples,6,03_negative_artifact_examples,10,1357811330-0216|1358117287-0194|1358063287-0194|1357685285-0182|1357658284-0162|1357676285-0173|1357649284-0160|1357667285-0154|1358063287-0001|1357631284-0168,review_sessions/S006_03_negative_artifact_examples.csv,Collect clear artifact and cosmic-ray/hot-pixel negatives.,"artifact, cosmic-ray-hot-pixel, uncertain",At least 20 high-confidence negative labels across negative sessions.,Negative examples if high confidence and note explains artifact reason.,ready_for_human_review
S007_04_strong_single_frame_check,7,04_strong_single_frame_check,10,1357352003-0272|1357811330-0180|1357811330-0399|1358099796-0108|1357658284-0195|1358105418-1483|1357667285-0063|1357646415-0076|1358114587-0079|1357628584-0070,review_sessions/S007_04_strong_single_frame_check.csv,Inspect strong one-frame detections without calling them discoveries.,"possible-lightning, artifact, cosmic-ray-hot-pixel, uncertain",Each note explains diffuse/multi-pixel evidence or why the row should stay uncertain.,Do not use for positive training unless second review agrees.,ready_for_human_review
S008_04_strong_single_frame_check,8,04_strong_single_frame_check,10,1357352003-0194|1357637415-0069|1357665093-0016|1357685285-0112|1357682416-0008|1357685285-0093|1357352003-0192|1357667116-1600|1357674094-0052|1357638093-0061,review_sessions/S008_04_strong_single_frame_check.csv,Inspect strong one-frame detections without calling them discoveries.,"possible-lightning, artifact, cosmic-ray-hot-pixel, uncertain",Each note explains diffuse/multi-pixel evidence or why the row should stay uncertain.,Do not use for positive training unless second review agrees.,ready_for_human_review
S009_05_low_priority_hold,9,05_low_priority_hold,15,1357667285-0006|1357667794-0108|1357685285-0055|1357664584-0715|1358117118-0033|1357673416-1543|1357673585-0019|1357685285-0071|1357646584-0889|1358114587-0121|1358117287-0242|1358108118-0149|1358108287-0236|1357685285-0216|1358063118-0152,review_sessions/S009_05_low_priority_hold.csv,Preserve lower-priority rows for later review.,"artifact, cosmic-ray-hot-pixel, uncertain",No scientific claim is made from this session alone.,Not for first training pass unless explicitly reviewed.,ready_for_human_review
S010_05_low_priority_hold,10,05_low_priority_hold,15,1357685116-0155|1358063287-0234|1356981845-0194|1357649284-0201|1357658284-0216|1358117118-0135|1357658115-0139|1357667116-0147|1357649115-0135|1357676116-0127|1357676285-0213|1357676116-0023|1358063287-0081|1357667285-0194|1356977373-0211,review_sessions/S010_05_low_priority_hold.csv,Preserve lower-priority rows for later review.,"artifact, cosmic-ray-hot-pixel, uncertain",No scientific claim is made from this session alone.,Not for first training pass unless explicitly reviewed.,ready_for_human_review
