session_id,session_order,session_row,review_batch,candidate_id,image_id,run_date,x,y,crop_url,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
S002_02_temporal_persistence_check,2,1,02_temporal_persistence_check,1356990399-0202,N1356990399,2000-12-31,402.62,656.20,/api/detection-crop?image=1356990399&x=403&y=656&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,41.20,5,,3,0.919,0.7672,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,2,02_temporal_persistence_check,1356976983-0161,N1356976983,2000-12-31,62.82,480.68,/api/detection-crop?image=1356976983&x=63&y=481&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,31.42,4,,3,0.972,0.7556,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,3,02_temporal_persistence_check,1356990399-0080,N1356990399,2000-12-31,900.63,316.07,/api/detection-crop?image=1356990399&x=901&y=316&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,30.93,6,,3,0.925,0.7438,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,4,02_temporal_persistence_check,1356985927-0141,N1356985927,2000-12-31,730.33,432.12,/api/detection-crop?image=1356985927&x=730&y=432&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,36.45,4,,3,0.922,0.7429,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,5,02_temporal_persistence_check,1356985927-0245,N1356985927,2000-12-31,612.58,709.56,/api/detection-crop?image=1356985927&x=613&y=710&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,23.17,4,,3,0.920,0.7424,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,6,02_temporal_persistence_check,1356985927-0162,N1356985927,2000-12-31,835.23,498.82,/api/detection-crop?image=1356985927&x=835&y=499&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,24.92,3,,3,0.950,0.7383,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,7,02_temporal_persistence_check,1356990399-0013,N1356990399,2000-12-31,626.28,57.49,/api/detection-crop?image=1356990399&x=626&y=57&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,31.06,3,,3,0.888,0.7344,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,8,02_temporal_persistence_check,1356985927-0123,N1356985927,2000-12-31,515.70,403.81,/api/detection-crop?image=1356985927&x=516&y=404&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,42.51,4,,3,0.879,0.7323,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,9,02_temporal_persistence_check,1356990399-0030,N1356990399,2000-12-31,445.85,114.86,/api/detection-crop?image=1356990399&x=446&y=115&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,46.63,3,,3,0.972,0.7305,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S002_02_temporal_persistence_check,2,10,02_temporal_persistence_check,1356976983-0147,N1356976983,2000-12-31,718.12,439.44,/api/detection-crop?image=1356976983&x=718&y=439&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,39.54,4,,3,0.946,0.7305,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
