session_id,session_order,session_row,review_batch,candidate_id,image_id,run_date,x,y,crop_url,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
S007_04_strong_single_frame_check,7,1,04_strong_single_frame_check,1357352003-0272,N1357352003,2001-01-05,626.87,751.47,/api/detection-crop?image=1357352003&x=627&y=751&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,564.80,11,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,2,04_strong_single_frame_check,1357811330-0180,N1357811330,2001-01-10,637.48,276.04,/api/detection-crop?image=1357811330&x=637&y=276&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,434.10,9,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,3,04_strong_single_frame_check,1357811330-0399,N1357811330,2001-01-10,807.98,614.96,/api/detection-crop?image=1357811330&x=808&y=615&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,428.93,34,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,4,04_strong_single_frame_check,1358099796-0108,N1358099796,2001-01-13,812.74,818.98,/api/detection-crop?image=1358099796&x=813&y=819&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,371.83,10,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,5,04_strong_single_frame_check,1357658284-0195,N1357658284,2001-01-08,713.61,689.45,/api/detection-crop?image=1357658284&x=714&y=689&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,370.72,16,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,6,04_strong_single_frame_check,1358105418-1483,N1358105418,2001-01-13,28.87,888.11,/api/detection-crop?image=1358105418&x=29&y=888&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,363.68,17,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,7,04_strong_single_frame_check,1357667285-0063,N1357667285,2001-01-08,164.06,271.23,/api/detection-crop?image=1357667285&x=164&y=271&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,363.49,9,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,8,04_strong_single_frame_check,1357646415-0076,N1357646415,2001-01-08,689.56,470.36,/api/detection-crop?image=1357646415&x=690&y=470&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,305.50,8,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,9,04_strong_single_frame_check,1358114587-0079,N1358114587,2001-01-13,259.57,429.91,/api/detection-crop?image=1358114587&x=260&y=430&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,229.84,9,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S007_04_strong_single_frame_check,7,10,04_strong_single_frame_check,1357628584-0070,N1357628584,2001-01-08,939.70,418.53,/api/detection-crop?image=1357628584&x=940&y=419&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,223.82,11,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
