session_id,session_order,session_row,review_batch,candidate_id,image_id,run_date,x,y,crop_url,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
S010_05_low_priority_hold,10,1,05_low_priority_hold,1357685116-0155,N1357685116,2001-01-08,402.00,601.00,/api/detection-crop?image=1357685116&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,128.88,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,2,05_low_priority_hold,1358063287-0234,N1358063287,2001-01-13,731.00,735.00,/api/detection-crop?image=1358063287&x=731&y=735&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,128.50,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,3,05_low_priority_hold,1356981845-0194,N1356981845,2000-12-31,402.00,601.00,/api/detection-crop?image=1356981845&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,128.17,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,4,05_low_priority_hold,1357649284-0201,N1357649284,2001-01-08,731.00,735.00,/api/detection-crop?image=1357649284&x=731&y=735&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,127.78,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,5,05_low_priority_hold,1357658284-0216,N1357658284,2001-01-08,731.00,735.00,/api/detection-crop?image=1357658284&x=731&y=735&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,126.73,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,6,05_low_priority_hold,1358117118-0135,N1358117118,2001-01-13,402.00,601.00,/api/detection-crop?image=1358117118&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,125.33,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,7,05_low_priority_hold,1357658115-0139,N1357658115,2001-01-08,402.00,601.00,/api/detection-crop?image=1357658115&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,123.82,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,8,05_low_priority_hold,1357667116-0147,N1357667116,2001-01-08,402.00,601.00,/api/detection-crop?image=1357667116&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,122.69,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,9,05_low_priority_hold,1357649115-0135,N1357649115,2001-01-08,402.00,601.00,/api/detection-crop?image=1357649115&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,121.56,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,10,05_low_priority_hold,1357676116-0127,N1357676116,2001-01-08,402.00,601.00,/api/detection-crop?image=1357676116&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,121.05,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,11,05_low_priority_hold,1357676285-0213,N1357676285,2001-01-08,731.00,735.00,/api/detection-crop?image=1357676285&x=731&y=735&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,121.05,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,12,05_low_priority_hold,1357676116-0023,N1357676116,2001-01-08,133.00,117.00,/api/detection-crop?image=1357676116&x=133&y=117&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,120.42,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,13,05_low_priority_hold,1358063287-0081,N1358063287,2001-01-13,399.00,299.00,/api/detection-crop?image=1358063287&x=399&y=299&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,120.21,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,14,05_low_priority_hold,1357667285-0194,N1357667285,2001-01-08,731.00,735.00,/api/detection-crop?image=1357667285&x=731&y=735&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,118.79,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
S010_05_low_priority_hold,10,15,05_low_priority_hold,1356977373-0211,N1356977373,2000-12-31,402.00,601.00,/api/detection-crop?image=1356977373&x=402&y=601&crop=128,cosmic-ray-hot-pixel,Hold for later review after the first labeling pass.,118.77,1,single_pixel|too_small,1,,0.0000,"Record the artifact reason: single pixel, edge, streak, compression/noise, or other.",,,,,first-review,,
