review_category,candidate_id,image_id,image_number,run_date,track_id,track_length,x,y,snr,blob_size,artifact_score,artifact_flags,candidate_score,time,review_reason
published_match,1357029177-0148,N1357029177,1357029177,2001-01-01,T0488,2,731.37,212.49,27.55,75,0.00,,0.6277,2001-01-01T08:20:46.529,Nearest detector candidate to published mark; offset 1.54 px.
published_match,1357029177-0219,N1357029177,1357029177,2001-01-01,T0534,1,847.00,402.23,24.75,13,0.00,,0.4360,2001-01-01T08:20:46.529,Nearest detector candidate to published mark; offset 5.32 px.
published_match,1357810970-0228,N1357810970,1357810970,2001-01-10,T0364,1,951.80,333.08,8.14,15,0.00,,0.3364,2001-01-10T09:29:58.115,Nearest detector candidate to published mark; offset 3.18 px.
published_match,1357810970-0239,N1357810970,1357810970,2001-01-10,U022,1,955.53,354.96,7.92,87,0.00,,0.0000,2001-01-10T09:29:58.115,Nearest detector candidate to published mark; offset 2.11 px.
published_match,1357885387-0203,N1357885387,1357885387,2001-01-11,U014,1,776.00,318.00,7.50,1,0.85,single_pixel|too_small,0.0000,2001-01-11T06:10:14.599,Nearest detector candidate to published mark; offset 2.24 px.
published_match,1357885387-0218,N1357885387,1357885387,2001-01-11,U014,1,769.65,339.50,7.06,14,0.00,,0.0000,2001-01-11T06:10:14.599,Nearest detector candidate to published mark; offset 5.56 px.
top_unmatched_temporal_track,1356990399-0202,N1356990399,1356990399,2000-12-31,T0353,3,402.62,656.20,41.20,5,0.00,,0.7672,2000-12-31T21:34:28.797,"3 linked frames; net motion 21.37, -75.84 px."
top_unmatched_temporal_track,1356976983-0161,N1356976983,1356976983,2000-12-31,T0019,3,62.82,480.68,31.42,4,0.00,,0.7556,2000-12-31T17:50:52.890,"3 linked frames; net motion 18.51, -18.89 px."
top_unmatched_temporal_track,1356990399-0080,N1356990399,1356990399,2000-12-31,T0339,3,900.63,316.07,30.93,6,0.00,,0.7438,2000-12-31T21:34:28.797,"3 linked frames; net motion 26.45, 116.02 px."
top_unmatched_temporal_track,1356985927-0141,N1356985927,1356985927,2000-12-31,T0231,3,730.33,432.12,36.45,4,0.00,,0.7429,2000-12-31T20:19:56.828,"3 linked frames; net motion -9.65, -118.41 px."
top_unmatched_temporal_track,1356985927-0245,N1356985927,1356985927,2000-12-31,T0254,3,612.58,709.56,23.17,4,0.00,,0.7424,2000-12-31T20:19:56.828,"3 linked frames; net motion 18.93, 105.22 px."
top_unmatched_temporal_track,1356985927-0162,N1356985927,1356985927,2000-12-31,T0234,3,835.23,498.82,24.92,3,0.00,,0.7383,2000-12-31T20:19:56.828,"3 linked frames; net motion 46.24, -84.31 px."
top_unmatched_temporal_track,1356990399-0013,N1356990399,1356990399,2000-12-31,T0328,3,626.28,57.49,31.06,3,0.00,,0.7344,2000-12-31T21:34:28.797,"3 linked frames; net motion -35.99, 31.64 px."
top_unmatched_temporal_track,1356985927-0123,N1356985927,1356985927,2000-12-31,T0228,3,515.70,403.81,42.51,4,0.00,,0.7323,2000-12-31T20:19:56.828,"3 linked frames; net motion 84.11, -115.97 px."
