run_date,track_id,frame_count,first_image_id,last_image_id,median_peak_snr,mean_step_px,motion_consistency,candidate_score,temporal_quality,quality_reason,candidate_ids
2001-01-01,T0635,3,N1357037371,N1357038121,32.52,64.19,0.755,0.8013,strong_temporal_review,appears in 3+ frames; moderate step consistency; high SNR,1357037371-0019|1357037761-0002|1357038121-0090
2001-01-01,T0209,3,N1357019483,N1357020233,30.17,61.91,0.828,0.7946,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357019483-0070|1357019873-0065|1357020233-0112
2001-01-01,T0466,3,N1357028427,N1357029177,35.31,19.39,0.920,0.7925,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357028427-0309|1357028817-0298|1357029177-0353
2001-01-04,T0184,3,N1357331473,N1357332223,13.29,70.01,0.930,0.7747,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357331473-0092|1357331863-0127|1357332223-0082
2000-12-31,T0353,3,N1356990399,N1356991149,41.20,39.43,0.919,0.7672,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356990399-0202|1356990789-0232|1356991149-0338
2001-01-01,T0237,3,N1357019483,N1357020233,28.28,52.60,0.905,0.7638,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357019483-0292|1357019873-0231|1357020233-0311
2001-01-01,T0216,3,N1357019483,N1357020233,32.19,71.04,0.898,0.7620,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357019483-0134|1357019873-0093|1357020233-0140
2001-01-01,T0577,3,N1357032899,N1357033649,32.04,68.71,0.897,0.7618,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357032899-0316|1357033289-0341|1357033649-0362
2001-01-01,T0363,3,N1357023955,N1357024705,28.80,43.59,0.984,0.7586,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357023955-0334|1357024345-0308|1357024705-0382
2000-12-31,T0019,3,N1356976983,N1356977733,53.41,31.38,0.972,0.7556,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356976983-0161|1356977373-0159|1356977733-0232
2001-01-01,T0086,3,N1357015011,N1357015761,32.78,64.17,0.864,0.7534,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357015011-0130|1357015401-0088|1357015761-0182
2001-01-01,T0559,3,N1357032899,N1357033649,24.13,26.93,0.983,0.7532,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357032899-0160|1357033289-0153|1357033649-0186
2001-01-01,T0561,3,N1357032899,N1357033649,26.25,62.10,0.842,0.7479,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357032899-0186|1357033289-0208|1357033649-0230
2001-01-01,T0076,3,N1357015011,N1357015761,34.77,75.60,0.941,0.7477,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357015011-0027|1357015401-0006|1357015761-0007
2001-01-04,T0013,3,N1357313585,N1357314335,13.36,73.59,0.913,0.7458,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357313585-0047|1357313975-0034|1357314335-0009
2000-12-31,T0339,3,N1356990399,N1356991149,30.93,72.32,0.925,0.7438,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356990399-0080|1356990789-0121|1356991149-0267
2000-12-31,T0231,3,N1356985927,N1356986677,36.45,59.48,0.922,0.7429,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356985927-0141|1356986317-0132|1356986677-0182
2000-12-31,T0254,3,N1356985927,N1356986677,25.45,57.53,0.920,0.7424,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356985927-0245|1356986317-0288|1356986677-0371
2001-01-01,T0562,3,N1357032899,N1357033649,24.73,69.68,0.926,0.7423,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357032899-0193|1357033289-0210|1357033649-0202
