run_date,track_id,frame_count,first_frame_index,last_frame_index,first_image_id,last_image_id,start_time,end_time,start_x,start_y,end_x,end_y,net_dx_px,net_dy_px,median_x,median_y,median_peak_snr,mean_step_px,step_cv,motion_consistency,candidate_score,reason,candidate_ids
2000-12-31,T0353,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,402.62,656.20,423.99,580.36,21.37,-75.84,410.83,620.92,41.20,39.43,0.081,0.919,0.7672,"3 frame(s); median area 5.0 px; net motion dx=21.4, dy=-75.8; flags: none",1356990399-0202|1356990789-0232|1356991149-0338
2000-12-31,T0019,3,0,2,N1356976983,N1356977733,2000-12-31T17:50:52.890,2000-12-31T18:03:22.885,62.82,480.68,81.33,461.79,18.51,-18.89,81.33,480.68,53.41,31.38,0.028,0.972,0.7556,"3 frame(s); median area 4.0 px; net motion dx=18.5, dy=-18.9; flags: none",1356976983-0161|1356977373-0159|1356977733-0232
2000-12-31,T0339,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,900.63,316.07,927.08,432.09,26.45,116.02,900.63,376.77,30.93,72.32,0.075,0.925,0.7438,"3 frame(s); median area 4.0 px; net motion dx=26.5, dy=116.0; flags: none",1356990399-0080|1356990789-0121|1356991149-0267
2000-12-31,T0231,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,730.33,432.12,720.68,313.71,-9.65,-118.41,728.91,377.32,36.45,59.48,0.078,0.922,0.7429,"3 frame(s); median area 4.0 px; net motion dx=-9.7, dy=-118.4; flags: none",1356985927-0141|1356986317-0132|1356986677-0182
2000-12-31,T0254,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,612.58,709.56,631.51,814.78,18.93,105.22,612.58,770.82,25.45,57.53,0.080,0.920,0.7424,"3 frame(s); median area 4.0 px; net motion dx=18.9, dy=105.2; flags: none",1356985927-0245|1356986317-0288|1356986677-0371
2000-12-31,T0234,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,835.23,498.82,881.47,414.51,46.24,-84.31,881.47,468.33,23.03,56.90,0.050,0.950,0.7383,"3 frame(s); median area 4.0 px; net motion dx=46.2, dy=-84.3; flags: none",1356985927-0162|1356986317-0169|1356986677-0216
2000-12-31,T0328,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,626.28,57.49,590.29,89.13,-35.99,31.64,626.28,89.13,31.12,75.05,0.112,0.888,0.7344,"3 frame(s); median area 4.0 px; net motion dx=-36.0, dy=31.6; flags: none",1356990399-0013|1356990789-0043|1356991149-0120
2000-12-31,T0228,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,515.70,403.81,599.81,287.84,84.11,-115.97,552.28,330.80,42.51,72.86,0.121,0.879,0.7323,"3 frame(s); median area 4.0 px; net motion dx=84.1, dy=-116.0; flags: none",1356985927-0123|1356986317-0120|1356986677-0174
2000-12-31,T0018,3,0,2,N1356976983,N1356977733,2000-12-31T17:50:52.890,2000-12-31T18:03:22.885,718.12,439.44,629.06,392.50,-89.06,-46.94,651.76,439.44,21.91,77.79,0.054,0.946,0.7305,"3 frame(s); median area 4.0 px; net motion dx=-89.1, dy=-46.9; flags: none",1356976983-0147|1356977373-0154|1356977733-0211
2000-12-31,T0332,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,445.85,114.86,527.40,38.12,81.55,-76.74,473.53,65.09,73.68,58.60,0.028,0.972,0.7305,"3 frame(s); median area 3.0 px; net motion dx=81.5, dy=-76.7; flags: none",1356990399-0030|1356990789-0015|1356991149-0101
2000-12-31,T0352,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,744.43,625.61,851.77,553.17,107.34,-72.44,787.50,601.91,56.14,64.91,0.243,0.757,0.7268,"3 frame(s); median area 5.0 px; net motion dx=107.3, dy=-72.4; flags: none",1356990399-0193|1356990789-0219|1356991149-0325
2000-12-31,T0340,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,647.43,332.24,645.04,419.03,-2.39,86.79,645.04,365.10,29.59,49.67,0.174,0.826,0.7190,"3 frame(s); median area 4.0 px; net motion dx=-2.4, dy=86.8; flags: none",1356990399-0086|1356990789-0114|1356991149-0259
2000-12-31,T0334,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,218.44,234.51,280.73,176.45,62.29,-58.06,229.83,176.45,24.00,62.79,0.160,0.840,0.7166,"3 frame(s); median area 4.0 px; net motion dx=62.3, dy=-58.1; flags: none",1356990399-0056|1356990789-0047|1356991149-0165
2000-12-31,T0244,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,116.23,575.74,108.13,519.57,-8.10,-56.17,116.23,548.47,47.55,40.38,0.086,0.914,0.7160,"3 frame(s); median area 3.0 px; net motion dx=-8.1, dy=-56.2; flags: none",1356985927-0197|1356986317-0199|1356986677-0248
2000-12-31,T0264,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,922.55,771.33,889.28,815.62,-33.27,44.29,899.50,779.50,76.05,31.00,0.211,0.789,0.7097,"3 frame(s); median area 4.0 px; net motion dx=-33.3, dy=44.3; flags: none",1356985927-0308|1356986317-0294|1356986677-0372
2000-12-31,T0366,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,734.98,945.68,732.14,908.91,-2.84,-36.77,732.14,915.38,70.74,28.00,0.315,0.685,0.7089,"3 frame(s); median area 5.0 px; net motion dx=-2.8, dy=-36.8; flags: none",1356990399-0348|1356990789-0357|1356991149-0488
2000-12-31,T0359,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,382.48,864.12,423.09,940.54,40.61,76.42,391.28,901.09,43.14,44.34,0.143,0.857,0.7018,"3 frame(s); median area 3.0 px; net motion dx=40.6, dy=76.4; flags: none",1356990399-0263|1356990789-0352|1356991149-0504
2000-12-31,T0362,3,9,11,N1356990399,N1356991149,2000-12-31T21:34:28.797,2000-12-31T21:46:58.792,859.48,919.10,821.55,841.09,-37.93,-78.01,859.48,882.28,59.64,60.25,0.256,0.744,0.6985,"3 frame(s); median area 4.0 px; net motion dx=-37.9, dy=-78.0; flags: none",1356990399-0279|1356990789-0345|1356991149-0448
2000-12-31,T0155,3,3,5,N1356981455,N1356982205,2000-12-31T19:05:24.859,2000-12-31T19:17:54.854,343.62,791.13,369.22,762.60,25.60,-28.53,354.54,791.13,18.92,65.48,0.219,0.781,0.6962,"3 frame(s); median area 5.0 px; net motion dx=25.6, dy=-28.5; flags: none",1356981455-0275|1356981845-0275|1356982205-0325
2000-12-31,T0131,3,3,5,N1356981455,N1356982205,2000-12-31T19:05:24.859,2000-12-31T19:17:54.854,909.59,321.38,825.19,245.49,-84.40,-75.89,840.21,314.45,14.01,70.15,0.006,0.994,0.6950,"3 frame(s); median area 4.0 px; net motion dx=-84.4, dy=-75.9; flags: none",1356981455-0109|1356981845-0086|1356982205-0163
2000-12-31,T0211,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,493.50,54.00,349.54,5.50,-143.96,-48.50,427.55,16.54,13.99,77.32,0.019,0.981,0.6917,"3 frame(s); median area 4.0 px; net motion dx=-144.0, dy=-48.5; flags: none",1356985927-0012|1356986317-0004|1356986677-0014
2000-12-31,T0243,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,752.72,567.15,705.67,543.31,-47.05,-23.84,752.72,556.57,33.22,37.70,0.588,0.412,0.6904,"3 frame(s); median area 7.0 px; net motion dx=-47.1, dy=-23.8; flags: none",1356985927-0189|1356986317-0202|1356986677-0261
