run_date,run_label,snr_threshold,min_blob_size,candidate_count,review_candidate_count,artifact_flagged_count,published_matches,unmatched_review_candidates
2000-12-31,"December 31, 2000 NAC/H-alpha",7.0,1,5035,652,4383,0,652
2000-12-31,"December 31, 2000 NAC/H-alpha",7.0,3,787,652,135,0,652
2000-12-31,"December 31, 2000 NAC/H-alpha",7.0,5,267,235,32,0,235
2000-12-31,"December 31, 2000 NAC/H-alpha",7.0,8,89,75,14,0,75
2000-12-31,"December 31, 2000 NAC/H-alpha",8.0,1,3882,609,3273,0,609
2000-12-31,"December 31, 2000 NAC/H-alpha",8.0,3,741,609,132,0,609
2000-12-31,"December 31, 2000 NAC/H-alpha",8.0,5,257,225,32,0,225
2000-12-31,"December 31, 2000 NAC/H-alpha",8.0,8,88,74,14,0,74
2000-12-31,"December 31, 2000 NAC/H-alpha",10.0,1,2888,539,2349,0,539
2000-12-31,"December 31, 2000 NAC/H-alpha",10.0,3,663,539,124,0,539
2000-12-31,"December 31, 2000 NAC/H-alpha",10.0,5,223,191,32,0,191
2000-12-31,"December 31, 2000 NAC/H-alpha",10.0,8,73,59,14,0,59
2000-12-31,"December 31, 2000 NAC/H-alpha",12.0,1,2338,498,1840,0,498
2000-12-31,"December 31, 2000 NAC/H-alpha",12.0,3,607,498,109,0,498
2000-12-31,"December 31, 2000 NAC/H-alpha",12.0,5,216,187,29,0,187
2000-12-31,"December 31, 2000 NAC/H-alpha",12.0,8,70,57,13,0,57
2000-12-31,"December 31, 2000 NAC/H-alpha",15.0,1,1763,461,1302,0,461
2000-12-31,"December 31, 2000 NAC/H-alpha",15.0,3,544,461,83,0,461
2000-12-31,"December 31, 2000 NAC/H-alpha",15.0,5,204,179,25,0,179
2000-12-31,"December 31, 2000 NAC/H-alpha",15.0,8,67,54,13,0,54
2000-12-31,"December 31, 2000 NAC/H-alpha",20.0,1,1234,390,844,0,390
2000-12-31,"December 31, 2000 NAC/H-alpha",20.0,3,446,390,56,0,390
2000-12-31,"December 31, 2000 NAC/H-alpha",20.0,5,178,161,17,0,161
2000-12-31,"December 31, 2000 NAC/H-alpha",20.0,8,62,52,10,0,52
2001-01-01,"January 1, 2001 NAC/H-alpha",7.0,1,9447,1264,8183,2,1262
2001-01-01,"January 1, 2001 NAC/H-alpha",7.0,3,1520,1264,256,2,1262
2001-01-01,"January 1, 2001 NAC/H-alpha",7.0,5,541,481,60,2,479
2001-01-01,"January 1, 2001 NAC/H-alpha",7.0,8,200,168,32,2,166
2001-01-01,"January 1, 2001 NAC/H-alpha",8.0,1,7396,1175,6221,2,1173
2001-01-01,"January 1, 2001 NAC/H-alpha",8.0,3,1416,1175,241,2,1173
2001-01-01,"January 1, 2001 NAC/H-alpha",8.0,5,512,453,59,2,451
2001-01-01,"January 1, 2001 NAC/H-alpha",8.0,8,194,163,31,2,161
2001-01-01,"January 1, 2001 NAC/H-alpha",10.0,1,5519,1001,4518,2,999
2001-01-01,"January 1, 2001 NAC/H-alpha",10.0,3,1217,1001,216,2,999
2001-01-01,"January 1, 2001 NAC/H-alpha",10.0,5,429,370,59,2,368
2001-01-01,"January 1, 2001 NAC/H-alpha",10.0,8,142,111,31,2,109
2001-01-01,"January 1, 2001 NAC/H-alpha",12.0,1,4528,933,3595,2,931
2001-01-01,"January 1, 2001 NAC/H-alpha",12.0,3,1134,933,201,2,931
2001-01-01,"January 1, 2001 NAC/H-alpha",12.0,5,403,348,55,2,346
2001-01-01,"January 1, 2001 NAC/H-alpha",12.0,8,128,100,28,2,98
2001-01-01,"January 1, 2001 NAC/H-alpha",15.0,1,3432,832,2600,2,830
2001-01-01,"January 1, 2001 NAC/H-alpha",15.0,3,1001,832,169,2,830
2001-01-01,"January 1, 2001 NAC/H-alpha",15.0,5,378,327,51,2,325
2001-01-01,"January 1, 2001 NAC/H-alpha",15.0,8,118,91,27,2,89
2001-01-01,"January 1, 2001 NAC/H-alpha",20.0,1,2240,666,1574,2,664
2001-01-01,"January 1, 2001 NAC/H-alpha",20.0,3,773,666,107,2,664
2001-01-01,"January 1, 2001 NAC/H-alpha",20.0,5,312,278,34,2,276
2001-01-01,"January 1, 2001 NAC/H-alpha",20.0,8,99,77,22,2,75
2001-01-04,"January 4, 2001 NAC/H-alpha",7.0,1,3888,684,3204,0,684
